,HospitalName,City,NumberOfStaffedBeds,TotalDischarges,PatientDays,GrossPatientRevenue($000)
147,UPMC Horizon - Shenango Valley,Farrell,0,0,0,0.0
148,UPMC Jameson,New Castle,146,4506,21161,412561.0
149,UPMC Kane,Kane,31,246,885,49259.0
150,UPMC Lock Haven,Lock Haven,137,607,2862,166849.0
151,UPMC McKeesport,McKeesport,213,5491,37803,793691.0
152,UPMC Memorial,York,79,4928,25091,517972.0
153,UPMC Mercy,Pittsburgh,423,14070,84897,2215159.0
154,UPMC Montefiore,Pittsburgh,0,0,0,0.0
155,UPMC Northwest,Seneca,164,4080,18605,537674.0
156,UPMC Passavant - Cranberry,Cranberry Township,0,0,0,0.0
157,UPMC Passavant - McCandless,Pittsburgh,409,13899,74688,2549638.0
158,UPMC Presbyterian,Pittsburgh,1455,43190,320403,16073767.0
159,UPMC Saint Margaret,Pittsburgh,246,8537,41209,1561322.0
160,UPMC Shadyside,Pittsburgh,433,22192,121785,1375973.0
161,UPMC Somerset,Somerset,99,2516,13315,267208.0
162,UPMC West Shore,Mechanicsburg,0,0,0,0.0
163,UPMC Williamsport,Williamsport,255,10974,58592,1842079.0
164,VA Butler Healthcare,Butler,0,0,0,0.0
165,Valley Forge Medical Center and Hospital,Norristown,50,2059,14087,34077.0
166,Warren General Hospital,Warren,85,2233,10555,239486.0
167,Washington Health System Greene,Waynesburg,23,451,1588,45611.0
168,Washington Hospital,Washington,251,7835,32107,557534.0
169,Wayne Memorial Hospital,Honesdale,106,3101,10339,371219.0
170,WellSpan Chambersburg Hospital,Chambersburg,285,9783,46253,1088555.0
171,WellSpan Ephrata Community Hospital,Ephrata,141,5174,22533,908174.0
172,Wellspan Gettysburg Hospital,Gettysburg,76,4579,19886,766081.0
173,WellSpan Good Samaritan Hospital,Lebanon,159,6135,31332,821091.0
174,Wellspan Surgery and Rehabilitation Hospital,York,73,725,4481,222036.0
175,Wellspan Waynesboro Hospital,Waynesboro,57,1455,5585,203817.0
176,WellSpan York Hospital,York,596,25378,155210,3430291.0
177,West Penn Hospital,Pittsburgh,288,15016,67599,2230747.0
178,Wilkes-Barre General Hospital,Wilkes-Barre,273,8968,47913,1984483.0
179,Wilkes-Barre VA Medical Center,Wilkes-Barre,0,0,0,0.0
180,Wills Eye Hospital,Philadelphia,4,361,857,121227.0
181,WVU Medicine Uniontown Hospital,Uniontown,145,5983,30246,301423.0
182,TOTAL,,34863,1384171,6927400,232016821.0
