,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
43,Mercer,7.5,7.3,6.1,6.5,6.2,No,6.7,7.8,7.5,6.9,6.9,No,31.1,31.8,30.5,34.1,34.9,No,19.3,24.7,20.8,26.0,24.8,No,9.7,9.7,10.0,9.9,9.9,No,72.0,77.7,74.9,73.2,70.9,No,75.8,76.7,77.4,78.0,78.7,No,42.9,39.8,41.2,41.1,38.7,No
44,Mifflin,6.2,5.9,7.0,6.2,5.8,No,11.1,10.9,11.9,10.7,10.7,No,50.0,39.0,37.0,39.4,39.7,No,21.8,20.6,20.6,20.3,21.8,Yes,8.1,8.0,7.9,7.6,7.9,Yes,62.1,61.0,61.8,65.3,63.0,No,79.6,80.5,82.0,83.2,83.5,No,35.3,34.8,33.7,34.6,34.4,No
45,Monroe,7.5,7.5,6.4,6.2,6.7,No,7.1,7.6,7.4,7.3,6.6,No,19.2,23.5,27.4,24.7,23.7,No,25.1,25.3,22.5,24.6,28.0,No,10.3,10.5,10.8,10.6,10.4,No,64.1,67.7,65.3,72.6,78.8,No,83.9,85.3,85.9,86.7,87.8,No,40.8,39.5,41.1,38.3,34.7,No
46,Montgomery,5.2,5.5,5.2,5.5,5.2,Yes,4.8,4.8,4.5,4.4,4.4,Yes,14.9,15.4,15.6,15.5,15.9,Yes,27.4,26.1,27.5,27.1,27.7,No,8.6,8.4,8.1,8.0,8.3,Yes,71.3,72.0,71.6,74.9,75.1,No,93.6,94.0,94.3,94.8,95.2,No,53.2,52.3,51.3,50.2,49.1,Yes
47,Montour,DSU,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,19.4,21.3,25.3,25.9,18.1,Yes,8.5,9.2,8.9,9.6,10.8,No,82.7,75.9,78.0,74.5,77.0,No,86.0,87.2,88.6,89.0,91.1,No,43.5,51.8,49.5,51.3,45.0,No
48,Northampton,4.7,4.7,4.5,4.5,4.6,Yes,6.0,5.3,4.7,4.5,4.4,Yes,19.0,17.8,15.4,18.0,17.4,Yes,25.9,26.6,30.4,31.2,29.6,No,9.9,9.6,9.6,9.5,9.8,No,60.0,72.2,77.7,79.9,86.0,Yes,86.7,87.5,88.2,89.1,89.9,No,45.6,46.5,43.2,42.1,41.1,No
49,Northumberland,6.6,6.4,6.1,7.2,7.9,No,5.0,6.1,5.5,5.1,5.0,Yes,30.2,31.9,24.6,19.6,17.2,Yes,24.8,26.3,31.2,25.7,27.8,No,9.1,8.7,9.0,8.5,8.7,Yes,76.0,77.2,75.5,71.6,75.0,No,75.9,75.8,76.9,77.0,77.9,No,42.1,37.9,38.7,38.7,38.5,No
50,Perry,9.9,8.9,8.2,7.5,5.7,Yes,8.1,7.1,7.2,5.7,5.7,No,30.3,23.6,33.5,45.7,50.9,No,26.3,19.7,33.3,17.2,20.4,Yes,9.1,9.0,10.4,9.4,10.0,No,51.2,54.8,58.9,55.1,57.6,No,78.3,79.0,80.5,82.0,83.8,No,42.3,43.1,41.0,38.3,43.0,No
51,Philadelphia,8.4,7.9,7.6,7.5,7.3,No,9.1,8.9,8.5,8.3,8.1,No,29.2,28.3,28.5,28.3,30.9,No,24.2,22.8,25.2,24.9,24.5,No,10.9,10.7,10.4,10.5,10.8,No,59.6,64.4,63.9,65.3,63.0,No,90.9,91.7,92.4,93.0,93.7,No,42.5,43.1,42.1,41.7,40.5,No
52,Pike,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,21.1,DSU,DSU,DSU,DSU,DSU,27.8,32.6,22.2,24.4,36.2,No,7.5,7.6,8.5,9.9,10.7,No,69.6,66.0,63.1,70.0,71.7,No,80.8,82.7,83.7,84.7,85.3,No,34.7,44.8,44.7,40.7,37.1,No
53,Potter,11.4,10.7,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,34.7,27.5,40.7,29.1,21.1,Yes,10.1,9.7,11.2,12.8,12.8,No,82.6,80.5,81.1,75.8,81.2,Yes,71.6,73.1,75.5,78.0,78.7,No,40.3,37.6,38.4,42.9,41.5,No
