county_name,pop_change_2010,perc_under_18,perc_nosmoke_moms,fert_rate,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_rate_35_39,birth_rate_40_44,clam_per_100000,gono_per_100000,perc_hiv_tested,perc_no_insur,perc_obese,perc_routine_checkup,beds_per_1000,adm_per_1000
Luzerne,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0
Lycoming,-2.4,20.3,32.5,8.5,78.9,10.4,81.7,57.9,18.1,77.4,108.4,89.7,35.2,6.8,791.8,380.3,49.0,21.0
McKean,-6.5,19.9,32.8,8.7,77.0,9.5,73.3,55.9,22.3,94.8,119.7,73.3,24.7,4.3,873.9,203.4,13.0,27.0
Mercer,-6.2,19.1,28.6,8.3,69.7,10.1,78.7,58.5,17.2,75.4,124.9,95.0,39.1,7.6,819.4,355.6,112.4,26.0
Mifflin,-1.2,22.3,23.4,7.4,62.6,8.0,83.5,77.3,23.0,135.1,153.9,101.9,44.0,8.8,786.9,346.0,30.3,19.0
Monroe,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0
Montgomery,3.9,21.4,31.4,7.3,78.8,8.3,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0
Montour,-0.2,20.2,25.0,7.6,71.9,10.4,91.1,68.8,11.1,83.4,109.0,123.3,56.3,8.5,746.2,400.1,36.5,15.0
Northampton,2.5,19.8,32.7,8.2,78.2,9.5,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0
Northumberland,-3.9,19.3,28.8,7.3,70.1,8.8,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0
Perry,0.7,21.4,24.0,7.3,65.2,10.0,83.8,67.9,20.8,98.9,125.2,105.5,47.9,8.3,826.8,197.8,28.2,18.0
Philadelphia,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0
Pike,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0
Potter,-5.3,20.3,35.9,6.2,77.8,11.3,78.7,68.9,27.7,145.7,135.1,81.7,29.4,.,764.6,178.2,.,21.0
Schuylkill,-4.7,19.7,32.1,8.5,67.6,10.1,77.0,59.0,20.9,88.7,114.6,90.6,36.6,7.2,915.8,235.7,34.5,17.0
Snyder,1.7,20.6,26.1,6.2,62.8,8.2,87.2,57.8,11.2,70.3,127.5,100.4,39.6,12.1,649.3,209.5,24.6,15.0
