,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
15,Chester,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes
16,Clarion,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No,6.6,7.1,8.1,7.7,8.6,No
17,Clearfield,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No,6.4,5.6,5.4,6.8,8.2,No
18,Clinton,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No,DSU,DSU,DSU,DSU,5.9,No
19,Columbia,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No,5.6,5.7,5.9,5.7,5.8,No
20,Crawford,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No,6.8,6.3,7.1,7.8,9.0,No
21,Cumberland,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No,4.7,5.1,5.7,5.6,5.3,No
22,Dauphin,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No,7.3,7.4,7.1,7.2,7.1,No
23,Delaware,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No,8.0,8.0,7.7,7.1,6.8,No
24,Elk,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
25,Erie,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No,6.5,6.8,6.7,6.6,6.7,No
26,Fayette,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No,7.0,7.2,7.4,8.1,7.3,No
27,Forest,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
28,Franklin,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No,5.9,5.9,5.7,5.7,5.6,No
29,Fulton,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU,DSU,13.9,13.9,15.4,DSU,DSU
30,Greene,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No,7.2,6.3,6.7,5.8,5.5,No
31,Huntingdon,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No,5.6,6.6,8.2,10.3,11.8,No
32,Indiana,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes,8.1,8.1,6.6,6.2,4.3,Yes
33,Jefferson,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes,5.1,5.7,4.9,5.8,4.6,Yes
34,Juniata,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No,10.4,10.3,9.5,8.6,7.9,No
35,Lackawanna,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No,7.7,7.2,7.1,7.1,6.9,No
36,Lancaster,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No,6.6,6.4,6.2,5.9,5.6,No
37,Lawrence,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No,7.3,6.3,5.9,5.0,5.4,No
38,Lebanon,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes,5.7,6.0,5.6,5.4,4.8,Yes
39,Lehigh,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No,6.2,6.1,6.3,6.2,5.9,No
40,Luzerne,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No,6.7,6.8,5.8,5.9,6.2,No
41,Lycoming,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No,7.1,7.4,6.5,6.5,6.3,No
42,McKean,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No,DSU,DSU,5.9,7.2,6.3,No
43,Mercer,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No,6.7,7.8,7.5,6.9,6.9,No
44,Mifflin,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No,11.1,10.9,11.9,10.7,10.7,No
45,Monroe,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No,7.1,7.6,7.4,7.3,6.6,No
46,Montgomery,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes,4.8,4.8,4.5,4.4,4.4,Yes
47,Montour,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU,10.3,DSU,DSU,DSU,DSU,DSU
48,Northampton,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes,6.0,5.3,4.7,4.5,4.4,Yes
49,Northumberland,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes,5.0,6.1,5.5,5.1,5.0,Yes
50,Perry,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No,8.1,7.1,7.2,5.7,5.7,No
51,Philadelphia,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No,9.1,8.9,8.5,8.3,8.1,No
52,Pike,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
53,Potter,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
54,Schuylkill,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No,8.0,8.6,7.9,7.7,8.5,No
55,Snyder,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU,5.7,6.5,4.9,DSU,DSU,DSU
56,Somerset,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes,5.6,5.0,4.4,4.3,4.4,Yes
57,Sullivan,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
58,Susquehanna,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No,6.3,5.3,5.3,5.4,5.9,No
59,Tioga,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU
60,Union,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU
61,Venango,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No,5.8,6.6,8.3,7.4,9.8,No
62,Warren,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU,6.0,DSU,DSU,DSU,DSU,DSU
63,Washington,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes,4.5,4.0,4.8,4.7,5.0,Yes
64,Wayne,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
65,Westmoreland,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes,4.6,4.7,4.4,4.8,4.8,Yes
66,Wyoming,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
