,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
0,Pennsylvania,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No,6.5,6.4,6.2,6.1,6.0,No
1,Adams,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes,3.8,3.7,4.8,5.7,4.7,Yes
2,Allegheny,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No,6.1,6.1,6.1,5.9,6.0,No
3,Armstrong,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No,4.6,5.7,5.8,4.3,6.3,No
4,Beaver,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No,7.2,6.8,6.6,6.4,7.2,No
5,Bedford,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No,6.8,5.5,6.4,4.3,5.1,No
6,Berks,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No,6.5,6.3,6.5,6.4,6.6,No
7,Blair,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No,6.6,7.1,7.1,7.1,6.3,No
8,Bradford,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes,5.3,5.1,6.1,4.3,4.8,Yes
9,Bucks,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes,4.5,3.9,3.2,3.3,3.4,Yes
10,Butler,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes,4.6,4.6,4.3,3.8,4.0,Yes
11,Cambria,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No,6.2,6.4,6.0,5.9,6.7,No
12,Cameron,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
13,Carbon,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU,4.8,4.1,3.7,3.4,DSU,DSU
14,Centre,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes,3.9,3.9,3.2,3.4,4.2,Yes
