,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
18,Forest,7247.0,-6.1,10.2,36.8,78.1,79.1,50.6,,76.4,105.7,82.3,,,803.9,132.9,,27.0,35.0,10.0,41.0,86.0,0.0,,1,0.7386648122392211,0.2162726008344923,0.0013908205841446,0.0009735744089012,0.0,0.017385257301808,8.5
19,Clarion,38438.0,-3.9,19.1,31.7,76.0,81.7,52.4,11.5,56.6,108.8,99.7,36.3,6.9,785.7,237.7,18.2,27.0,35.0,10.0,41.0,86.0,1.7,25.4,1,0.960758936660368,0.0149095333005461,0.0013201149276525,0.0037273833251365,0.0,0.0009577304377086,7.52
20,Snyder,40372.0,1.7,20.6,26.1,62.8,87.2,57.8,11.2,70.3,127.5,100.4,39.6,12.1,649.3,209.5,24.6,15.0,31.0,13.0,34.0,83.0,0.0,,1,0.96168298230001,0.0095421734401265,0.0005685751013546,0.0068970631859982,0.0,0.0054385444477405,5.392857142857143
21,Columbia,64964.0,-3.5,17.1,28.1,75.0,81.9,41.1,9.1,33.0,102.8,89.4,36.8,6.8,776.3,368.7,29.0,15.0,31.0,13.0,34.0,83.0,2.6,22.7,1,0.9472396390885456,0.0170668297904878,0.0006117143294081,0.0115155222511087,0.0016057501146964,0.0066371004740786,6.14
22,Centre,162385.0,5.5,14.7,24.7,76.6,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,3,0.8727197653207119,0.0344438692501109,0.0006470936252033,0.0625030813982152,0.0001479071143321,0.004135236404871,3.980769230769231
23,Wayne,51361.0,-2.8,16.2,32.3,79.0,83.4,56.1,12.9,63.4,109.6,99.9,48.2,10.7,791.1,148.2,10.4,19.0,42.0,10.0,35.0,88.0,1.6,41.3,1,0.9301513614730436,0.0342708902239213,0.0024576734025122,0.0071194507294998,0.0003510962003588,0.003413435281267,5.0
24,Greene,36233.0,-6.3,19.5,28.7,75.7,72.7,59.1,18.0,102.5,120.9,83.0,29.9,4.0,915.3,345.2,21.0,20.0,32.0,11.0,39.0,87.0,0.6,45.7,1,0.9329843218945292,0.0320414428242517,0.0,0.0029876110075649,0.0001918649270913,0.0041936191207104,6.7407407407407405
25,Mercer,109424.0,-6.2,19.1,28.6,69.7,78.7,58.5,17.2,75.4,124.9,95.0,39.1,7.6,819.4,355.6,112.4,26.0,33.0,8.0,35.0,87.0,3.2,37.5,0,0.9071381391434956,0.0607497353396248,0.0012848469493933,0.0076005030809182,4.524108976737032e-05,0.0030221047964603,7.505376344086022
26,Cameron,4447.0,-12.5,17.3,34.0,85.5,65.8,60.0,24.8,105.2,113.2,96.3,22.6,,713.9,147.8,,27.0,35.0,10.0,41.0,86.0,0.0,,0,0.9501329787234044,0.0015514184397163,0.0015514184397163,0.0024379432624113,0.0,0.0,9.0
27,Adams,103009.0,1.6,19.9,29.5,75.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0,39.0,14.0,32.0,83.0,0.7,62.5,2,0.9280014031395248,0.0159119919709238,0.0015005797694563,0.0070546737213403,0.0,0.0224210003215528,3.627906976744186
28,Berks,421164.0,2.4,22.3,29.7,80.3,91.6,60.5,20.2,75.4,115.4,98.7,44.1,9.7,729.8,486.7,86.6,17.0,45.0,7.0,34.0,83.0,2.1,62.6,1,0.8001202685998731,0.0523502488891858,0.0034147691749669,0.0145754088893767,0.0002410144560948,0.0663338599061714,6.030150753768845
29,Cambria,130192.0,-9.4,19.1,24.6,78.8,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0,37.0,8.0,39.0,89.0,3.9,45.7,0,0.9314646952002492,0.0357720859198699,0.0003039259636352,0.0045360950072562,0.0003267204109079,0.0042017764472574,7.967213114754099
30,Sullivan,6066.0,-5.6,10.4,32.6,76.3,77.2,58.3,25.0,74.1,124.6,88.5,29.1,,843.4,532.2,,21.0,33.0,8.0,36.0,89.0,0.0,,1,0.9435243458098708,0.0276581649552832,0.0011593242795627,0.000662471016893,0.0003312355084465,0.0109307717787346,
31,Bucks,628270.0,0.5,20.2,35.1,76.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,3,0.856975343653014,0.0389457483892758,0.0009208689944365,0.0481432859409751,0.0002565050313222,0.0209139226470044,2.082595870206489
32,Carbon,64182.0,-1.6,19.2,29.8,74.9,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,0,0.941982990432118,0.0233881558376586,0.0026577449815521,0.0063160527796885,0.0001094365580639,0.0052998561690951,6.583333333333333
33,Lebanon,141793.0,6.2,22.6,30.2,72.3,89.4,64.3,19.7,90.2,128.3,98.8,41.0,9.5,745.4,328.9,50.6,20.0,42.0,16.0,32.0,87.0,1.1,54.3,2,0.8559789188804217,0.0247275835054483,0.0008617619827647,0.0149134677017306,0.0001495619970087,0.074602948507941,5.776315789473684
34,Franklin,155027.0,3.6,22.1,26.6,77.5,88.0,65.7,20.7,100.0,127.1,97.2,42.4,8.4,718.1,285.5,52.1,17.0,39.0,14.0,32.0,83.0,2.2,42.4,1,0.9160008776798276,0.0407669372846134,0.0019747796120138,0.0074409179498431,0.0001355240910205,0.0096867457438981,5.180327868852459
35,Huntingdon,45144.0,-1.7,17.6,32.8,75.2,78.3,54.5,15.8,79.5,121.0,82.3,29.8,7.3,744.9,190.0,44.2,19.0,37.0,7.0,34.0,88.0,1.3,48.4,1,0.912747812603832,0.0554435707165799,0.0015062576143537,0.0062022372355742,8.86033890796323e-05,0.0052719016502381,6.6875
36,Dauphin,278299.0,3.8,22.3,30.4,71.6,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,0,0.6856726254281393,0.1951665818508613,0.0035081260759877,0.0476339999494714,0.0003248264885173,0.0277798831346477,5.940828402366864
37,Washington,206865.0,-0.5,19.4,29.2,80.0,82.8,56.2,11.9,58.2,107.7,112.5,45.3,7.3,837.4,276.6,40.5,20.0,32.0,11.0,39.0,87.0,2.5,48.1,2,0.9298873387708192,0.0327649567077616,0.0002607675257507,0.0097304919331083,0.0003042287800425,0.0041239901294662,5.9391891891891895
38,Fulton,14530.0,-2.1,19.5,31.4,77.3,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,0,0.961841015732818,0.0135937068727573,0.0018630968810378,0.0044162296439414,0.0,0.006486337289539,5.727272727272728
39,Lancaster,545724.0,5.1,23.4,27.8,61.8,93.1,69.6,13.2,82.5,126.1,118.6,54.4,12.3,676.9,262.0,50.1,13.0,32.0,18.0,34.0,81.0,1.5,66.7,1,0.8755050179541479,0.0406997514041064,0.0008949452168308,0.0229941994291501,0.0002080839701684,0.0275333763005248,4.603305785123967
40,Bradford,60323.0,-3.7,21.8,28.8,80.2,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,2,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,5.981132075471698
41,Monroe,170271.0,0.3,19.6,31.9,68.5,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,0,0.7426076861109795,0.1418577927308913,0.0029083542624271,0.0256776287731602,0.0004738662749372,0.039259820878548,4.6923076923076925
42,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
43,Luzerne,317417.0,-1.1,19.8,35.1,68.7,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,0,0.8601592835076383,0.0516805386289273,0.001694237388481,0.0120769523881504,0.0005920383439301,0.041178156304421,7.0
