,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
78,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
79,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
80,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
81,Adams,103009.0,1.6,19.9,29.5,75.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0,39.0,14.0,32.0,83.0,0.7,62.5,2,0.9280014031395248,0.0159119919709238,0.0015005797694563,0.0070546737213403,0.0,0.0224210003215528,3.627906976744186
82,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
83,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
84,Washington,206865.0,-0.5,19.4,29.2,80.0,82.8,56.2,11.9,58.2,107.7,112.5,45.3,7.3,837.4,276.6,40.5,20.0,32.0,11.0,39.0,87.0,2.5,48.1,2,0.9298873387708192,0.0327649567077616,0.0002607675257507,0.0097304919331083,0.0003042287800425,0.0041239901294662,5.9391891891891895
85,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
86,Adams,103009.0,1.6,19.9,29.5,75.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0,39.0,14.0,32.0,83.0,0.7,62.5,2,0.9280014031395248,0.0159119919709238,0.0015005797694563,0.0070546737213403,0.0,0.0224210003215528,3.627906976744186
87,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
88,Jefferson,43425.0,-3.9,21.1,26.4,71.8,79.9,66.6,20.2,118.1,131.2,90.6,35.2,5.1,826.1,145.2,16.0,27.0,35.0,10.0,41.0,86.0,1.9,41.5,3,0.9753270599036034,0.004728023869635,0.0005278861602019,0.0025935276566444,0.0,0.0026394308010098,7.727272727272727
89,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
90,Centre,162385.0,5.5,14.7,24.7,76.6,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,3,0.8727197653207119,0.0344438692501109,0.0006470936252033,0.0625030813982152,0.0001479071143321,0.004135236404871,3.980769230769231
91,Indiana,84073.0,-5.4,17.6,24.0,65.7,85.0,48.0,9.5,41.8,128.1,98.0,38.7,7.6,791.7,390.5,34.7,21.0,37.0,8.0,39.0,89.0,2.0,42.1,3,0.940838000071037,0.0226016125404023,0.0006511727028402,0.0092821708913962,0.000165753051632,0.004558208919882,7.158730158730159
92,Centre,162385.0,5.5,14.7,24.7,76.6,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,3,0.8727197653207119,0.0344438692501109,0.0006470936252033,0.0625030813982152,0.0001479071143321,0.004135236404871,3.980769230769231
93,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
94,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
95,Chester,524989.0,5.2,22.5,28.0,75.2,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0,37.0,6.0,22.0,87.0,1.5,62.5,3,0.8334840415341584,0.0567090693130005,0.0007414077167707,0.0572742250660944,0.0002222307368098,0.0155254990612667,1.9698275862068968
96,Centre,162385.0,5.5,14.7,24.7,76.6,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,3,0.8727197653207119,0.0344438692501109,0.0006470936252033,0.0625030813982152,0.0001479071143321,0.004135236404871,3.980769230769231
97,Chester,524989.0,5.2,22.5,28.0,75.2,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0,37.0,6.0,22.0,87.0,1.5,62.5,3,0.8334840415341584,0.0567090693130005,0.0007414077167707,0.0572742250660944,0.0002222307368098,0.0155254990612667,1.9698275862068968
98,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
99,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
100,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
101,Bucks,628270.0,0.5,20.2,35.1,76.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,3,0.856975343653014,0.0389457483892758,0.0009208689944365,0.0481432859409751,0.0002565050313222,0.0209139226470044,2.082595870206489
102,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
103,Montgomery,830915.0,3.9,21.4,31.4,78.8,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,3,0.7806124422737494,0.0926110399187601,0.0009828574191832,0.0768393819966633,0.0004279600570613,0.0143233637176914,2.423387096774193
104,Westmoreland,348899.0,-4.5,18.1,28.5,82.9,84.5,53.9,11.1,55.4,106.7,104.8,43.5,7.1,801.1,214.3,41.1,20.0,35.0,7.0,32.0,90.0,1.3,59.5,3,0.9430574643164672,0.02414733036422,0.0005616984392196,0.0103158627060748,8.553783338370561e-05,0.0022895626735705,6.164102564102564
105,Butler,187853.0,2.2,19.8,30.1,82.2,88.0,54.1,8.4,43.8,104.7,122.1,49.4,7.4,761.5,226.7,32.3,21.0,40.0,8.0,34.0,86.0,1.6,54.8,3,0.9545682062641776,0.0101119287745343,0.0004792383305466,0.0129767090171354,9.0522795769923e-05,0.0029233538163345,4.518867924528302
106,Bucks,628270.0,0.5,20.2,35.1,76.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,3,0.856975343653014,0.0389457483892758,0.0009208689944365,0.0481432859409751,0.0002565050313222,0.0209139226470044,2.082595870206489
107,Dauphin,278299.0,3.8,22.3,30.4,71.6,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,0,0.6856726254281393,0.1951665818508613,0.0035081260759877,0.0476339999494714,0.0003248264885173,0.0277798831346477,5.940828402366864
108,Lackawanna,209674.0,-2.2,20.6,35.2,75.1,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,0,0.8922593047268298,0.0281687460149789,0.0006709110115054,0.0295962162522244,0.0005234057536567,0.0108582902713145,6.412121212121212
109,Erie,269728.0,-3.9,21.1,36.4,80.3,82.3,57.4,19.9,74.6,100.5,93.1,40.2,7.8,803.6,431.6,112.0,20.0,43.0,8.0,29.0,88.0,3.4,58.6,0,0.8560831624063577,0.0714842342839078,0.0024591429390617,0.0183057277078141,0.0002352543319879,0.0132918697573204,6.888888888888889
110,Susquehanna,40328.0,-7.0,18.4,31.8,64.2,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0,42.0,10.0,35.0,88.0,1.2,27.6,0,0.9720717170722096,0.0061077726332381,0.0002216530391094,0.0044330607821889,7.388434636981578e-05,0.0028322332775096,5.628571428571429
111,Carbon,64182.0,-1.6,19.2,29.8,74.9,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,0,0.941982990432118,0.0233881558376586,0.0026577449815521,0.0063160527796885,0.0001094365580639,0.0052998561690951,6.583333333333333
112,Potter,16526.0,-5.3,20.3,35.9,77.8,78.7,68.9,27.7,145.7,135.1,81.7,29.4,,764.6,178.2,,21.0,33.0,8.0,36.0,89.0,1.5,49.2,0,0.9709319748276896,0.0034162421336529,0.0017380881030866,0.0041953850764159,0.0,0.0029967036260113,8.222222222222221
113,Lawrence,85512.0,-6.1,19.8,30.4,70.3,76.1,61.8,20.9,83.4,126.7,101.3,38.0,6.3,860.8,372.5,102.4,26.0,33.0,8.0,35.0,87.0,1.1,70.1,0,0.9235849932674004,0.0361470956957793,0.0005339648047546,0.0037493615638204,0.0,0.0023796257603194,7.1866666666666665
114,Wyoming,26794.0,-5.2,19.4,32.4,71.2,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,0,0.931014107393456,0.0180589408375803,0.0016987960706108,0.0043577812246103,0.0,0.0032498707437772,5.318181818181818
