county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,population_Multiracial,perc_poverty,perc_below_poverty,perc_unemployed,per_capita_income,perc_educated,perc_foodstamp,perc_disability,perc_vacant_housing,perc_rented,perc_pre200_houses,perc_ownHouse_occupied,perc_age_under5,perc_age_5_17,perc_age_18_24,perc_age_25_39,perc_age_40_64,perc_age_over65,adi_staterank_mean
Cambria,130192.0,-9.4,19.1,24.6,8.8,78.8,10.2,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0,37.0,8.0,39.0,89.0,3.9,45.7,136.0,0,0.9314646952002492,0.0357720859198699,0.0003039259636352,0.0045360950072562,0.0003267204109079,0.0042017764472574,0.023394701050824,0.951280668029268,0.138255920857679,0.8310931457097052,27096.015625,0.717842733510117,0.0755635927088161,0.1433314844503878,2.0934556806100163e-06,0.2525600266980485,1.4312877917885509e-05,0.6440549703353917,0.0492360061089118,0.1430883436794794,0.0898329167014913,0.1581782677739702,0.334508513726056,0.1969972114792834,7.967213114754099
Cameron,4447.0,-12.5,17.3,34.0,.,85.5,6.9,65.8,60.0,24.8,105.2,113.2,96.3,22.6,.,713.9,147.8,.,27.0,35.0,10.0,41.0,86.0,0.0,.,0.0,0,0.9501329787234044,0.0015514184397163,0.0015514184397163,0.0024379432624113,0.0,0.0,0.0443262411347517,0.9913563829787234,0.1808510638297872,0.8599290780141844,24547.8,0.7752659574468085,0.1214539007092198,0.1702127659574468,0.0001067920346618,0.3286203941730934,0.0002112358697088,0.3540442837776774,0.0434397163120567,0.1187943262411345,0.0624999999999999,0.1491578014184396,0.3526152482269501,0.2278368794326239,9.0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0,0.941982990432118,0.0233881558376586,0.0026577449815521,0.0063160527796885,0.0001094365580639,0.0052998561690951,0.0202457632418235,0.9808017009567882,0.1163935963979738,0.8317491088737414,30846.26785714286,0.7419016947032706,0.0503564505034081,0.1341535863923457,6.8238242164601375e-06,0.2505933320776041,2.4412165139954645e-05,0.5713588189677457,0.0467606778813082,0.1448783690826089,0.066459258332812,0.1648583578262772,0.3675817647426675,0.1760834219248325,6.583333333333333
Centre,162385.0,5.5,14.7,24.7,6.1,76.6,7.4,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,82.1,3,0.8727197653207119,0.0344438692501109,0.0006470936252033,0.0625030813982152,0.0001479071143321,0.004135236404871,0.0254030468865552,0.8852425676675048,0.1576443326924025,0.8676231326726815,34747.46788990826,0.6149115022432579,0.0228701375536163,0.0708475077651235,1.7081314942055411e-06,0.375496800269451,1.2078771026846316e-05,0.5529659121410039,0.0387516639550362,0.11105975447419,0.2352770793275154,0.1880515702805304,0.2844870088251243,0.1212591825666811,3.980769230769231
Chester,524989.0,5.2,22.5,28.0,6.5,75.2,8.1,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0,37.0,6.0,22.0,87.0,1.5,62.5,83.9,3,0.8334840415341584,0.0567090693130005,0.0007414077167707,0.0572742250660944,0.0002222307368098,0.0155254990612667,0.0360435265718993,0.9754684087512931,0.0610923790183531,0.8000842944174106,53699.122507122505,0.6826161921912717,0.0187765814782175,0.0721636844323537,2.153902199503592e-07,0.250130862239636,3.915560228490559e-06,0.7172892447264705,0.0552913904747308,0.1718226751982834,0.0902697421357138,0.1756082608529061,0.3434422774818956,0.1384497490325297,1.9698275862068968
Clarion,38438.0,-3.9,19.1,31.7,6.2,76.0,8.3,81.7,52.4,11.5,56.6,108.8,99.7,36.3,6.9,785.7,237.7,18.2,27.0,35.0,10.0,41.0,86.0,1.7,25.4,38.6,1,0.960758936660368,0.0149095333005461,0.0013201149276525,0.0037273833251365,0.0,0.0009577304377086,0.0183263013485879,0.9698962027282376,0.1560065229208189,0.8341314420314239,27815.3,0.6860197240700955,0.0631325550695001,0.1254885719462635,1.094523576847376e-05,0.3047708725674827,4.356554159142722e-05,0.5388245596964094,0.0506561747728625,0.1378096446043537,0.1255144565526879,0.1690782491652213,0.3205549659617423,0.1719773250847718,7.52
Clearfield,79255.0,-2.9,18.0,27.2,8.5,78.0,8.4,76.8,60.2,21.7,92.9,122.6,90.2,35.7,4.2,801.6,177.9,21.4,27.0,35.0,10.0,41.0,86.0,3.3,58.5,148.3,2,0.9426421362595324,0.0275337880351345,0.0017365917499307,0.0050587672715375,0.0001132559836911,0.0041149674074446,0.0188004932927289,0.9261570986333778,0.1325346689150076,0.8398182870661667,25629.696969696968,0.7465079405028565,0.0768630609317192,0.1396194598947977,4.926458711084687e-06,0.2258390108503659,2.260595836547617e-05,0.6241957223875283,0.0464223693151788,0.1353409005109101,0.071728789671054,0.1836005335615231,0.3577127324893664,0.1772959504693829,8.048387096774194
Clinton,38632.0,-1.5,19.5,27.3,6.8,68.8,8.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,19.0,1,0.9603621365015954,0.0165763054813354,0.0016861656592907,0.0077823030428804,0.0001815870710005,0.0026459830345793,0.010765519209318,0.957742094477159,0.147967521855301,0.8208513839528911,26149.444444444445,0.6572414329814003,0.0566811071623129,0.1311577472826791,1.1323185283804853e-05,0.303559569663966,4.655207133944346e-05,0.544581191255128,0.0542685932190199,0.147915639835015,0.1405743339645642,0.1628836026874885,0.3070637370619209,0.1630133077382031,6.285714285714286
Columbia,64964.0,-3.5,17.1,28.1,8.6,75.0,10.0,81.9,41.1,9.1,33.0,102.8,89.4,36.8,6.8,776.3,368.7,29.0,15.0,31.0,13.0,34.0,83.0,2.6,22.7,45.9,1,0.9472396390885456,0.0170668297904878,0.0006117143294081,0.0115155222511087,0.0016057501146964,0.0066371004740786,0.0153234439516745,0.9307539379109956,0.1309068664933476,0.8436458174032727,28966.85185185185,0.6696589692613549,0.0437375745526839,0.1105520721822908,4.157818906281412e-06,0.3175742013443093,2.92267327939315e-05,0.5964553285586983,0.0440893102920935,0.1325737880409846,0.1536779324055663,0.158434011316715,0.3167609726257834,0.1635571188255083,6.14
Crawford,84629.0,-4.7,20.5,28.1,8.0,65.1,8.8,78.7,61.5,19.0,90.7,125.9,91.7,36.9,8.3,855.7,224.0,31.3,26.0,33.0,8.0,35.0,87.0,2.7,40.9,96.5,1,0.9516891177092884,0.0149869525354397,0.0003996520676117,0.0051837224063756,0.0002938618144203,0.0049603874274161,0.022486306039448,0.955662129440252,0.1195077226884829,0.8171709335402121,27006.2530120482,0.7011190257893128,0.0669534757975409,0.1412182335378611,4.845901844498105e-06,0.2722852512155591,2.026189308835354e-05,0.5691380537270948,0.0550814584949573,0.1525142816841806,0.0912852340315487,0.1615652255683286,0.3340033382702116,0.1789265815642851,7.461538461538462
Cumberland,253370.0,7.6,20.2,27.7,7.3,71.6,9.0,90.1,56.2,9.1,53.4,103.7,111.7,50.0,8.2,689.4,300.3,55.4,18.0,39.0,16.0,30.0,85.0,1.5,50.8,60.0,1,0.8682436865523864,0.0406899760226174,0.0010696377943989,0.0464954450925892,0.0001590539471225,0.0117819211331003,0.031560279457785,0.9464027961683904,0.0666992727258267,0.818960821036475,37796.04761904762,0.7021993184538365,0.0262240195318247,0.0965775566927912,5.105579072850753e-07,0.3028682691547402,7.442202162894828e-06,0.6590390940349828,0.0535137005093702,0.1494232306242467,0.0948637504125459,0.1931590897342605,0.3242115894658568,0.1590141836357343,4.433333333333334
Dauphin,278299.0,3.8,22.3,30.4,9.5,71.6,10.3,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,223.0,0,0.6856726254281393,0.1951665818508613,0.0035081260759877,0.0476339999494714,0.0003248264885173,0.0277798831346477,0.0399139570723749,0.9828419430398706,0.1168364787364971,0.8015634981647304,33720.156565656565,0.694453768167726,0.0446347687054942,0.1055469536689151,7.127962730398153e-07,0.3664413365096388,6.950004146710754e-06,0.5771657831093743,0.0622259276503134,0.1626586687166827,0.0806616354652776,0.1989634425833089,0.3261402312042757,0.1425807825431025,5.940828402366864
Delaware,566747.0,1.4,22.1,31.6,8.7,69.6,9.4,93.6,58.8,10.7,42.9,87.8,125.6,68.6,13.4,753.1,535.9,151.0,12.0,50.0,6.0,26.0,90.0,1.8,66.4,84.8,1,0.6773253757110916,0.2164584099849998,0.0019563863810035,0.0584952452381626,0.0006173407296295,0.0128297200916989,0.0323175218634138,0.9634972971443126,0.0954790847083463,0.8049910848215549,40682.28888888889,0.6817157473183709,0.0436932188039509,0.0920987462145869,2.999360660082867e-07,0.3132597950342564,4.148501849217188e-06,0.6404474384416186,0.0590860526986103,0.1611312370871422,0.0980669628958762,0.1943791922565306,0.3227542240964536,0.1411110010471793,4.318681318681318
Elk,29910.0,-6.4,19.2,30.7,7.0,85.1,7.4,73.4,62.7,18.5,85.0,152.0,106.9,31.6,6.3,786.5,139.6,.,27.0,35.0,10.0,41.0,86.0,1.2,57.5,57.4,1,0.9723044186587758,0.0064501113807893,0.0008976959138211,0.0046879675499551,0.0004987199521228,0.0005984639425474,0.0145626226019882,0.9863683213086412,0.0979818465937427,0.8319313761345879,30843.96153846154,0.7361438973301858,0.0562556105994613,0.1382784187252718,1.132992208393978e-05,0.2155469574393246,5.117227263517248e-05,0.6261792452830188,0.0486418193303853,0.1422349303454466,0.072979352993982,0.1545699371612859,0.3578814376433817,0.19679489310769,7.76
Erie,269728.0,-3.9,21.1,36.4,8.7,80.3,9.7,82.3,57.4,19.9,74.6,100.5,93.1,40.2,7.8,803.6,431.6,112.0,20.0,43.0,8.0,29.0,88.0,3.4,58.6,144.8,0,0.8560831624063577,0.0714842342839078,0.0024591429390617,0.0183057277078141,0.0002352543319879,0.0132918697573204,0.03814060857355,0.9514420355381076,0.147412569933026,0.810748917462488,28539.87826086957,0.6888467391544078,0.0710688633539916,0.1215566485079729,7.589730337948723e-07,0.3301717577997608,7.445914245041667e-06,0.6080024339503178,0.0558398212067076,0.1573410379127057,0.0979724017261784,0.191938128110687,0.3176374583710105,0.153775464443513,6.888888888888889
